Time, (DWRT AFR) Air Pump ON, (DWRT AFR) Air/Fuel Ratio 1, (DWRT AFR) Air/Fuel Ratio 2, (DWRT AFR) Sensor Heater ON 1, (DWRT AFR) Sensor Heater ON 2, (DWRT AFR) Sensor Ready 1, (DWRT AFR) Sensor Ready 2, (DWRT ATMO) Humidity, (DWRT ATMO) Pressure, (DWRT ATMO) Temperature 1, (DWRT ATMO) Temperature 2, (DWRT CPU) Acceleration, (DWRT CPU) Ashcroft -14.7-45psi (Relative), (DWRT CPU) Correction Factor, (DWRT CPU) Distance, (DWRT CPU) Distance 1, (DWRT CPU) Engine RPM, (DWRT CPU) Force, (DWRT CPU) Force 1, (DWRT CPU) Force Drum 1, (DWRT CPU) Gear Ratio, (DWRT CPU) Link 0 Status, (DWRT CPU) Link 1 Status, (DWRT CPU) Power, (DWRT CPU) Power (uncorrected), (DWRT CPU) Power Drum 1, (DWRT CPU) Power Drum 1 (uncorrected), (DWRT CPU) Speed, (DWRT CPU) Speed 1, (DWRT CPU) TCP RX kB/s, (DWRT CPU) TCP TX kB/s, (DWRT CPU) Torque, (DWRT CPU) Torque (uncorrected), (DWRT CPU) Torque Drum 1, (DWRT CPU) Torque Drum 1 (uncorrected), (DWRT CPU) UDP RX kB/s, (DWRT CPU) User Analog 1, (Gen) Sampling, 
10.4,0,13.605, ,1,0,1,0,15.556,24.45,80.65,80.92,5.541,0.334,1.245,0.227,0.227,6.927,755.412,755.412,755.412,62.619,0,0,277.584,222.877,277.584,222.877,110.644,110.644,0.034,0.045,210.448,168.974,210.448,168.974,10.735,0.334,1, 
10.45,0,13.607, ,1,0,1,0,15.554,24.45,80.645,80.92,5.525,0.339,1.245,0.228,0.228,6.944,753.345,753.345,753.345,62.615,0,0,277.514,222.821,277.514,222.821,110.921,110.921,0.034,0.045,209.883,168.521,209.883,168.521,10.711,0.339,1, 
10.5,0,13.587, ,1,0,1,0,15.552,24.45,80.641,80.92,5.51,0.344,1.245,0.23,0.23,6.961,751.317,751.317,751.317,62.612,0,0,277.45,222.769,277.45,222.769,111.193,111.193,0.034,0.045,209.33,168.077,209.33,168.077,10.687,0.344,1, 
10.55,0,13.58, ,1,0,1,0,15.55,24.45,80.637,80.92,5.488,0.344,1.245,0.232,0.232,6.98,748.472,748.472,748.472,62.609,0,0,277.08,222.472,277.08,222.472,111.464,111.464,0.034,0.045,208.549,167.451,208.549,167.451,10.663,0.344,1, 
10.6,0,13.585, ,1,0,1,0,15.547,24.45,80.633,80.92,5.469,0.344,1.245,0.233,0.233,6.997,746,746,746,62.604,0,0,276.842,222.281,276.842,222.281,111.737,111.737,0.034,0.045,207.874,166.908,207.874,166.908,10.679,0.344,1, 
10.65,0,13.599, ,1,0,1,0,15.545,24.45,80.628,80.92,5.453,0.34,1.245,0.235,0.235,7.013,743.848,743.848,743.848,62.599,0,0,276.715,222.18,276.715,222.18,112.011,112.011,0.034,0.045,207.288,166.438,207.288,166.438,10.733,0.34,1, 
10.7,0,13.604, ,1,0,1,0,15.543,24.45,80.624,80.92,5.434,0.335,1.245,0.236,0.236,7.03,741.386,741.386,741.386,62.594,0,0,276.462,221.975,276.462,221.975,112.284,112.284,0.034,0.045,206.615,165.899,206.615,165.899,10.788,0.335,1, 
10.75,0,13.602, ,1,0,1,0,15.54,24.45,80.62,80.92,5.415,0.33,1.245,0.238,0.238,7.046,738.869,738.869,738.869,62.589,0,0,276.184,221.752,276.184,221.752,112.552,112.552,0.034,0.045,205.926,165.346,205.926,165.346,10.843,0.33,1, 
10.8,0,13.612, ,1,0,1,0,15.538,24.45,80.616,80.92,5.395,0.325,1.245,0.239,0.239,7.062,736.285,736.285,736.285,62.585,0,0,275.876,221.507,275.876,221.507,112.821,112.821,0.034,0.045,205.218,164.777,205.218,164.777,10.905,0.325,1, 
10.85,0,13.599, ,1,0,1,0,15.536,24.45,80.612,80.92,5.38,0.32,1.245,0.241,0.241,7.079,734.318,734.318,734.318,62.582,0,0,275.793,221.44,275.793,221.44,113.09,113.09,0.034,0.045,204.682,164.347,204.682,164.347,10.979,0.32,1, 
10.9,0,13.572, ,1,0,1,0,15.533,24.45,80.607,80.92,5.366,0.315,1.245,0.242,0.242,7.095,732.509,732.509,732.509,62.579,0,0,275.764,221.417,275.764,221.417,113.357,113.357,0.034,0.045,204.189,163.951,204.189,163.951,11.052,0.315,1, 
10.95,0,13.549, ,1,0,1,0,15.531,24.45,80.603,80.92,5.353,0.318,1.245,0.244,0.244,7.112,730.862,730.862,730.862,62.576,0,0,275.792,221.44,275.792,221.44,113.622,113.622,0.034,0.045,203.74,163.591,203.74,163.591,11.125,0.318,1, 
11,0,13.543, ,1,0,1,0,15.529,24.45,80.6,80.92,5.341,0.323,1.245,0.246,0.246,7.128,729.348,729.348,729.348,62.575,0,0,275.867,221.501,275.867,221.501,113.887,113.887,0.034,0.045,203.329,163.26,203.329,163.26,11.18,0.323,1, 
11.05,0,13.511, ,1,0,1,0,15.527,24.45,80.6,80.92,5.33,0.328,1.245,0.247,0.247,7.144,727.863,727.863,727.863,62.571,0,0,275.947,221.566,275.947,221.566,114.152,114.152,0.034,0.045,202.926,162.934,202.926,162.934,11.205,0.328,1, 
11.1,0,13.509, ,1,0,1,0,15.524,24.45,80.6,80.92,5.318,0.333,1.245,0.249,0.249,7.16,726.403,726.403,726.403,62.567,0,0,276.028,221.63,276.028,221.63,114.417,114.417,0.034,0.045,202.53,162.613,202.53,162.613,11.23,0.333,1, 
11.15,0,13.519, ,1,0,1,0,15.522,24.45,80.6,80.92,5.306,0.338,1.245,0.25,0.25,7.176,724.856,724.856,724.856,62.562,0,0,276.073,221.667,276.073,221.667,114.682,114.682,0.034,0.045,202.108,162.274,202.108,162.274,11.255,0.338,1, 
11.2,0,13.533, ,1,0,1,0,15.52,24.45,80.6,80.92,5.293,0.343,1.245,0.252,0.252,7.192,723.055,723.055,723.055,62.559,0,0,276.02,221.625,276.02,221.625,114.945,114.945,0.034,0.045,201.616,161.879,201.616,161.879,11.279,0.343,1, 
11.25,0,13.545, ,1,0,1,0,15.517,24.45,80.6,80.92,5.276,0.344,1.245,0.253,0.253,7.208,720.857,720.857,720.857,62.555,0,0,275.818,221.461,275.818,221.461,115.206,115.206,0.034,0.045,201.015,161.396,201.015,161.396,11.291,0.344,1, 
11.3,0,13.577, ,1,0,1,0,15.515,24.45,80.6,80.92,5.26,0.344,1.245,0.255,0.255,7.224,718.81,718.81,718.81,62.552,0,0,275.658,221.332,275.658,221.332,115.467,115.467,0.034,0.045,200.457,160.949,200.457,160.949,11.303,0.344,1, 
11.35,0,13.577, ,1,0,1,0,15.513,24.45,80.6,80.92,5.246,0.344,1.245,0.257,0.257,7.24,717.03,717.03,717.03,62.549,0,0,275.597,221.284,275.597,221.284,115.73,115.73,0.034,0.045,199.973,160.561,199.973,160.561,11.315,0.344,1, 
11.4,0,13.567, ,1,0,1,0,15.51,24.45,80.6,80.92,5.235,0.344,1.245,0.258,0.258,7.256,715.625,715.625,715.625,62.546,0,0,275.679,221.35,275.679,221.35,115.992,115.992,0.034,0.045,199.593,160.257,199.593,160.257,11.328,0.344,1, 
11.45,0,13.569, ,1,0,1,0,15.509,24.45,80.6,80.92,5.225,0.34,1.245,0.26,0.26,7.272,714.342,714.342,714.342,62.544,0,0,275.8,221.447,275.8,221.447,116.252,116.252,0.034,0.045,199.245,159.976,199.245,159.976,11.343,0.34,1, 
11.5,0,13.564, ,1,0,1,0,15.509,24.45,80.6,80.919,5.214,0.335,1.245,0.261,0.261,7.288,712.954,712.954,712.954,62.541,0,0,275.877,221.508,275.877,221.508,116.51,116.51,0.034,0.045,198.868,159.672,198.868,159.672,11.357,0.335,1, 
11.55,0,13.564, ,1,0,1,0,15.508,24.45,80.6,80.919,5.203,0.329,1.245,0.263,0.263,7.304,711.419,711.419,711.419,62.536,0,0,275.892,221.52,275.892,221.52,116.771,116.771,0.034,0.045,198.449,159.336,198.449,159.336,11.372,0.329,1, 
11.6,0,13.567, ,1,0,1,0,15.507,24.45,80.6,80.919,5.19,0.321,1.245,0.265,0.265,7.319,709.793,709.793,709.793,62.532,0,0,275.871,221.504,275.871,221.504,117.031,117.031,0.034,0.045,198.007,158.981,198.007,158.981,11.387,0.321,1, 
11.65,0,13.578, ,1,0,1,0,15.506,24.45,80.6,80.918,5.177,0.316,1.245,0.266,0.266,7.335,708.108,708.108,708.108,62.528,0,0,275.825,221.466,275.825,221.466,117.286,117.286,0.034,0.045,197.549,158.612,197.549,158.612,11.398,0.316,1, 
11.7,0,13.574, ,1,0,1,0,15.506,24.45,80.6,80.918,5.163,0.311,1.245,0.268,0.268,7.351,706.351,706.351,706.351,62.524,0,0,275.748,221.402,275.748,221.402,117.543,117.543,0.034,0.045,197.071,158.229,197.071,158.229,11.409,0.311,1, 
11.75,0,13.593, ,1,0,1,0,15.505,24.45,80.6,80.917,5.147,0.309,1.245,0.269,0.269,7.366,704.178,704.178,704.178,62.519,0,0,275.501,221.203,275.501,221.203,117.799,117.799,0.034,0.045,196.479,157.754,196.479,157.754,11.42,0.309,1, 
11.8,0,13.595, ,1,0,1,0,15.504,24.45,80.6,80.917,5.134,0.309,1.245,0.271,0.271,7.382,702.489,702.489,702.489,62.516,0,0,275.438,221.153,275.438,221.153,118.054,118.054,0.034,0.045,196.021,157.387,196.021,157.387,11.429,0.309,1, 
11.85,0,13.589, ,1,0,1,0,15.503,24.45,80.6,80.917,5.123,0.314,1.245,0.273,0.273,7.397,701.099,701.099,701.099,62.512,0,0,275.487,221.192,275.487,221.192,118.311,118.311,0.034,0.045,195.647,157.086,195.647,157.086,11.43,0.314,1, 
11.9,0,13.585, ,1,0,1,0,15.502,24.45,80.6,80.916,5.109,0.321,1.245,0.274,0.274,7.413,699.316,699.316,699.316,62.509,0,0,275.381,221.107,275.381,221.107,118.566,118.566,0.034,0.045,195.161,156.695,195.161,156.695,11.431,0.321,1, 
11.95,0,13.585, ,1,0,1,0,15.502,24.45,80.6,80.916,5.095,0.327,1.245,0.276,0.276,7.428,697.439,697.439,697.439,62.505,0,0,275.228,220.985,275.228,220.985,118.817,118.817,0.034,0.045,194.646,156.282,194.646,156.282,11.432,0.327,1, 
12,0,13.571, ,1,0,1,0,15.501,24.45,80.6,80.915,5.08,0.332,1.245,0.278,0.278,7.444,695.511,695.511,695.511,62.502,0,0,275.048,220.842,275.048,220.842,119.071,119.071,0.034,0.045,194.118,155.859,194.118,155.859,11.432,0.332,1, 
12.05,0,13.58, ,1,0,1,0,15.5,24.45,80.6,80.915,5.065,0.337,1.245,0.279,0.279,7.461,693.564,693.564,693.564,62.498,0,0,274.859,220.691,274.859,220.691,119.323,119.323,0.034,0.045,193.585,155.431,193.585,155.431,11.465,0.337,1, 
12.1,0,13.579, ,1,0,1,0,15.499,24.45,80.6,80.915,5.044,0.342,1.245,0.281,0.281,7.477,690.818,690.818,690.818,62.495,0,0,274.346,220.28,274.346,220.28,119.575,119.575,0.034,0.045,192.828,154.826,192.828,154.826,11.501,0.342,1, 
12.15,0,13.566, ,1,0,1,0,15.499,24.45,80.6,80.914,5.017,0.341,1.245,0.283,0.283,7.492,687.3,687.3,687.3,62.489,0,0,273.52,219.617,273.52,219.617,119.829,119.829,0.034,0.045,191.858,154.048,191.858,154.048,11.538,0.341,1, 
12.2,0,13.555, ,1,0,1,0,15.498,24.45,80.6,80.914,4.983,0.336,1.245,0.284,0.284,7.507,682.719,682.719,682.719,62.483,0,0,272.263,218.608,272.263,218.608,120.078,120.078,0.034,0.045,190.596,153.036,190.596,153.036,11.574,0.336,1, 
12.25,0,13.531, ,1,0,1,0,15.497,24.45,80.6,80.914,4.941,0.331,1.245,0.286,0.286,7.521,677.278,677.278,677.278,62.476,0,0,270.642,217.306,270.642,217.306,120.324,120.324,0.034,0.045,189.099,151.834,189.099,151.834,11.592,0.331,1, 
12.3,0,13.488, ,1,0,1,0,15.496,24.45,80.6,80.913,4.9,0.326,1.245,0.288,0.288,7.536,671.756,671.756,671.756,62.469,0,0,268.981,215.971,268.981,215.971,120.571,120.571,0.034,0.045,187.578,150.612,187.578,150.612,11.61,0.326,1, 
12.35,0,13.461, ,1,0,1,0,15.496,24.45,80.6,80.913,4.858,0.321,1.245,0.289,0.289,7.55,666.268,666.268,666.268,62.462,0,0,267.327,214.641,267.327,214.641,120.815,120.815,0.034,0.045,186.065,149.395,186.065,149.395,11.628,0.321,1, 
12.4,0,13.446, ,1,0,1,0,15.495,24.45,80.6,80.912,4.821,0.317,1.245,0.291,0.291,7.564,661.392,661.392,661.392,62.456,0,0,265.903,213.497,265.903,213.497,121.056,121.056,0.034,0.045,184.723,148.318,184.723,148.318,11.645,0.317,1, 
12.45,0,13.445, ,1,0,1,0,15.494,24.45,80.6,80.912,4.795,0.317,1.245,0.293,0.293,7.579,657.889,657.889,657.889,62.453,0,0,265.019,212.786,265.019,212.786,121.293,121.293,0.034,0.045,183.758,147.542,183.758,147.542,11.62,0.317,1, 
12.5,0,13.461, ,1,0,1,0,15.493,24.45,80.6,80.912,4.775,0.321,1.245,0.294,0.294,7.593,655.27,655.27,655.27,62.449,0,0,264.485,212.356,264.485,212.356,121.531,121.531,0.034,0.045,183.035,146.962,183.035,146.962,11.595,0.321,1, 
12.55,0,13.454, ,1,0,1,0,15.493,24.45,80.6,80.911,4.758,0.324,1.245,0.296,0.296,7.607,653.054,653.054,653.054,62.447,0,0,264.108,212.054,264.108,212.054,121.769,121.769,0.034,0.045,182.423,146.471,182.423,146.471,11.569,0.324,1, 
12.6,0,13.461, ,1,0,1,0,15.492,24.45,80.6,80.911,4.745,0.324,1.245,0.298,0.298,7.622,651.47,651.47,651.47,62.445,0,0,263.976,211.949,263.976,211.949,122.008,122.008,0.034,0.045,181.991,146.124,181.991,146.124,11.544,0.324,1, 
12.65,0,13.462, ,1,0,1,0,15.491,24.45,80.6,80.91,4.734,0.326,1.245,0.299,0.299,7.636,649.987,649.987,649.987,62.441,0,0,263.883,211.875,263.883,211.875,122.242,122.242,0.034,0.045,181.586,145.8,181.586,145.8,11.564,0.326,1, 
12.7,0,13.46, ,1,0,1,0,15.49,24.45,80.6,80.91,4.722,0.331,1.245,0.301,0.301,7.65,648.448,648.448,648.448,62.438,0,0,263.765,211.783,263.765,211.783,122.477,122.477,0.034,0.045,181.165,145.462,181.165,145.462,11.6,0.331,1, 
12.75,0,13.448, ,1,0,1,0, ,24.45,80.6, ,4.708,0.334,1.245,0.303,0.303,7.665,646.64,646.64,646.64,62.434,0,0,263.535,211.597,263.535,211.597,122.713,122.713,0.034,0.045,180.674,145.068,180.674,145.068,11.636,0.334,1, 
12.8,0,13.459, ,1,0,1,0, ,24.45,80.6, ,4.698,0.334,1.245,0.304,0.304,7.679,645.36,645.36,645.36,62.43,0,0,263.515,211.58,263.515,211.58,122.947,122.947,0.034,0.045,180.33,144.791,180.33,144.791,11.672,0.334,1, 
12.85,0,13.437, ,1,0,1,0, ,24.45,80.6, ,4.69,0.336,1.245,0.306,0.306,7.693,644.275,644.275,644.275,62.427,0,0,263.573,211.626,263.573,211.626,123.182,123.182,0.034,0.045,180.039,144.557,180.039,144.557,11.72,0.336,1, 
12.9,0,13.423, ,1,0,1,0, ,24.45,80.6, ,4.677,0.341,1.245,0.308,0.308,7.707,642.563,642.563,642.563,62.423,0,0,263.376,211.468,263.376,211.468,123.415,123.415,0.034,0.045,179.569,144.18,179.569,144.18,11.77,0.341,1, 
12.95,0,13.412, ,1,0,1,0, ,24.45,80.6, ,4.66,0.342,1.245,0.309,0.309,7.721,640.445,640.445,640.445,62.42,0,0,262.999,211.166,262.999,211.166,123.646,123.646,0.034,0.045,178.987,143.713,178.987,143.713,11.82,0.342,1, 
13,0,13.405, ,1,0,1,0, ,24.45,80.6, ,4.646,0.337,1.245,0.311,0.311,7.735,638.607,638.607,638.607,62.416,0,0,262.734,210.954,262.734,210.954,123.879,123.879,0.034,0.045,178.482,143.308,178.482,143.308,11.869,0.337,1, 
13.05,0,13.399, ,1,0,1,0, ,24.45,80.6, ,4.626,0.332,1.245,0.313,0.313,7.749,635.904,635.904,635.904,62.412,0,0,262.108,210.453,262.108,210.453,124.11,124.11,0.034,0.045,177.717,142.694,177.717,142.694,11.902,0.332,1, 
13.1,0,13.421, ,1,0,1,0, ,24.45,80.6, ,4.358,0.327,1.245,0.315,0.315,7.779,600.261,600.261,600.261,62.482,0,0,247.802,198.968,247.802,198.968,124.334,124.334,0.034,0.045,167.337,134.361,167.337,134.361,11.927,0.327,1, 
13.15,0,13.445, ,1,0,1,0, ,24.45,80.6, ,3.755,0.322,1.245,0.316,0.316,7.804,519.688,519.688,519.688,62.683,0,0,214.786,172.459,214.786,172.459,124.546,124.546,0.034,0.045,144.691,116.179,144.691,116.179,11.951,0.322,1, 
13.2,0,13.726, ,1,0,1,0, ,24.45,80.6, ,2.949,0.317,1.245,0.319,0.319,7.793,412.139,412.139,412.139,62.439,0,0,170.508,136.906,170.508,136.906,124.706,124.706,0.034,0.045,114.649,92.057,114.649,92.057,11.976,0.317,1, 
13.25,0,14.75, ,1,0,1,0, ,24.45,80.6, ,2.07,0.316,1.245,0.32,0.32,7.79,294.742,294.742,294.742,62.29,0,0,122.053,98.001,122.053,98.001,124.829,124.829,0.034,0.045,81.832,65.705,81.832,65.705,11.999,0.316,1, 
13.3,0,15.873, ,1,0,1,0, ,24.45,80.6, ,1.015,0.321,1.245,0.322,0.322,7.772,153.965,153.965,153.965,62.226,0,0,63.792,51.221,63.792,51.221,124.911,124.911,0.034,0.045,42.368,34.019,42.368,34.019,12.023,0.321,1, 
13.35,0,16.778, ,1,0,1,0, ,24.45,80.6, ,-0.001,0.324,1.245,0.324,0.324,7.749,18.229,18.229,18.229,62.221,0,0,7.559,6.07,7.559,6.07,124.939,124.939,0.034,0.045,4.557,3.659,4.557,3.659,12.046,0.324,1, 
13.4,0,17.263, ,1,0,1,0, ,24.45,80.6, ,-0.86,0.324,1.245,0.326,0.326,7.722,-96.472,-96.472,-96.472,61.898,0,0,-39.996,-32.113,-39.996,-32.113,124.908,124.908,0.034,0.045,-27.226,-21.862,-27.226,-21.862,12.069,0.324,1, 
13.45,0,17.699, ,1,0,1,0, ,24.45,80.6, ,-1.148,0.325,1.245,0.327,0.327,7.709,-134.909,-134.909,-134.909,61.784,0,0,-55.938,-44.913,-55.938,-44.913,124.877,124.877,0.034,0.045,-38.063,-30.563,-38.063,-30.563,12.083,0.325,1, 
13.5,0,17.786, ,1,0,1,0, ,24.45,80.6, ,-1.487,0.327,1.245,0.328,0.328,7.693,-180.163,-180.163,-180.163,61.932,0,0,-74.702,-59.98,-74.702,-59.98,124.852,124.852,0.034,0.044,-50.833,-40.816,-50.833,-40.816,12.088,0.327,1, 
13.55,0,17.47, ,1,0,1,0, ,24.45,80.6, ,-1.83,0.327,1.245,0.329,0.329,7.693,-225.96,-225.96,-225.96,61.918,0,0,-93.68,-75.219,-93.68,-75.219,124.815,124.815,0.034,0.044,-63.661,-51.116,-63.661,-51.116,12.093,0.327,1, 
13.6,0,17.364, ,1,0,1,0, , , , , ,0.32, ,0.33,0.33,7.663, , , ,61.667,0,0, , , , ,124.764,124.764,0.034,0.044, , , , ,12.098,0.32,1, 
13.65,0,18.151, ,1,0,1,0, , , , , , , ,0.331,0.331,7.643, , , , , , , , , , , , , , , , , , , , , , 
13.7,0,19, ,1,0,1,0, , , , , , , ,0.332,0.332,7.659, , , , , , , , , , , , , , , , , , , , , , 
