Time, (DWRT ATMO) Humidity, (DWRT ATMO) Pressure, (DWRT ATMO) Temperature 1, (DWRT ATMO) Temperature 2, (DWRT CPU) Acceleration, (DWRT CPU) Correction Factor, (DWRT CPU) Distance, (DWRT CPU) Distance 1, (DWRT CPU) Distance 2, (DWRT CPU) Engine RPM, (DWRT CPU) Force, (DWRT CPU) Force 1, (DWRT CPU) Force Drum 1, (DWRT CPU) Gear Ratio, (DWRT CPU) Link 0 Status, (DWRT CPU) Link 1 Status, (DWRT CPU) Power, (DWRT CPU) Power (uncorrected), (DWRT CPU) Power Drum 1, (DWRT CPU) Power Drum 1 (uncorrected), (DWRT CPU) Speed, (DWRT CPU) Speed 1, (DWRT CPU) TCP RX kB/s, (DWRT CPU) TCP TX kB/s, (DWRT CPU) Torque, (DWRT CPU) Torque (uncorrected), (DWRT CPU) Torque Drum 1, (DWRT CPU) Torque Drum 1 (uncorrected), (DWRT CPU) UDP RX kB/s, (DWRT CPU) User Analog 1, (DWRT CPU) WB Volts Petrol AFR, (Gen) Sampling, (Gen) Sampling Duration, 
1.35, 34.91, 24.45, 56.86, 57.799, 5.316, 1.213, 0.012, 0.012, , 2.52, 704.872, 704.872, 704.872, 70.4, 0, 0, 82.203, 67.744, 82.203, 67.744, 35.798, 35.798, 0.024, 0.034, 170.154, 140.227, 170.154, 140.227, 15.999, 8.5, 8.5, 1, 1.233, 
1.4, 34.91, 24.45, 56.86, 57.798, 5.368, 1.213, 0.013, 0.013, , 2.548, 711.736, 711.736, 711.736, 70.4, 0, 0, 83.621, 68.913, 83.621, 68.913, 36.185, 36.185, 0.024, 0.034, 171.811, 141.593, 171.811, 141.593, 16.1, 8.5, 8.5, 1, 1.283, 
1.45, 34.91, 24.45, 56.86, 57.797, 5.42, 1.213, 0.013, 0.013, , 2.572, 718.6, 718.6, 718.6, 70.4, 0, 0, 85.04, 70.083, 85.04, 70.083, 36.532, 36.532, 0.024, 0.034, 173.468, 142.958, 173.468, 142.958, 16.2, 8.5, 8.5, 1, 1.333, 
1.5, 34.91, 24.45, 56.86, 57.796, 5.472, 1.213, 0.014, 0.014, , 2.591, 725.464, 725.464, 725.464, 70.4, 0, 0, 86.458, 71.252, 86.458, 71.252, 36.804, 36.804, 0.024, 0.034, 175.125, 144.323, 175.125, 144.323, 16.275, 8.5, 8.5, 1, 1.383, 
1.55, 34.91, 24.45, 56.86, 57.794, 5.524, 1.213, 0.014, 0.014, , 2.61, 732.328, 732.328, 732.328, 70.4, 0, 0, 87.877, 72.422, 87.877, 72.422, 37.075, 37.075, 0.024, 0.034, 176.782, 145.688, 176.782, 145.688, 16.32, 8.5, 8.5, 1, 1.433, 
1.6, 34.91, 24.45, 56.86, 57.793, 5.547, 1.213, 0.015, 0.015, , 2.629, 735.33, 735.33, 735.33, 70.4, 0, 0, 88.892, 73.259, 88.892, 73.259, 37.346, 37.346, 0.024, 0.034, 177.507, 146.285, 177.507, 146.285, 16.364, 8.5, 8.5, 1, 1.483, 
1.65, 34.91, 24.45, 56.86, 57.792, 5.569, 1.213, 0.015, 0.015, , 2.648, 738.254, 738.254, 738.254, 70.4, 0, 0, 89.9, 74.089, 89.9, 74.089, 37.617, 37.617, 0.024, 0.034, 178.214, 146.866, 178.214, 146.866, 16.409, 8.5, 8.5, 1, 1.533, 
1.7, 34.91, 24.45, 56.86, 57.791, 5.591, 1.213, 0.016, 0.016, , 2.667, 741.178, 741.178, 741.178, 70.4, 0, 0, 90.908, 74.92, 90.908, 74.92, 37.892, 37.892, 0.024, 0.034, 178.92, 147.448, 178.92, 147.448, 16.423, 8.5, 8.5, 1, 1.583, 
1.75, 34.91, 24.45, 56.86, 57.79, 5.613, 1.213, 0.016, 0.016, , 2.687, 744.102, 744.102, 744.102, 70.4, 0, 0, 91.915, 75.75, 91.915, 75.75, 38.168, 38.168, 0.024, 0.034, 179.627, 148.029, 179.627, 148.029, 16.391, 8.5, 8.5, 1, 1.633, 
1.8, 34.91, 24.45, 56.86, 57.789, 5.628, 1.213, 0.017, 0.017, , 2.706, 746.162, 746.162, 746.162, 70.4, 0, 0, 92.826, 76.501, 92.826, 76.501, 38.445, 38.445, 0.024, 0.034, 180.125, 148.439, 180.125, 148.439, 16.359, 8.5, 8.5, 1, 1.683, 
1.85, 34.91, 24.45, 56.86, 57.788, 5.633, 1.213, 0.017, 0.017, , 2.726, 746.812, 746.812, 746.812, 70.4, 0, 0, 93.58, 77.122, 93.58, 77.122, 38.721, 38.721, 0.024, 0.034, 180.282, 148.569, 180.282, 148.569, 16.328, 8.5, 8.5, 1, 1.733, 
1.9, 34.91, 24.45, 56.86, 57.786, 5.638, 1.213, 0.018, 0.018, , 2.745, 747.463, 747.463, 747.463, 70.4, 0, 0, 94.333, 77.743, 94.333, 77.743, 38.998, 38.998, 0.024, 0.034, 180.439, 148.7, 180.439, 148.7, 16.293, 8.5, 8.5, 1, 1.783, 
1.95, 34.91, 24.45, 56.86, 57.785, 5.642, 1.213, 0.018, 0.018, , 2.765, 748.113, 748.113, 748.113, 70.4, 0, 0, 95.086, 78.364, 95.086, 78.364, 39.276, 39.276, 0.024, 0.034, 180.595, 148.83, 180.595, 148.83, 16.252, 8.5, 8.5, 1, 1.833, 
2, 34.91, 24.45, 56.86, 57.784, 5.647, 1.213, 0.019, 0.019, , 2.785, 748.763, 748.763, 748.763, 70.4, 0, 0, 95.84, 78.985, 95.84, 78.985, 39.555, 39.555, 0.024, 0.034, 180.752, 148.96, 180.752, 148.96, 16.212, 8.5, 8.5, 1, 1.883, 
2.05, 34.91, 24.45, 56.86, 57.783, 5.658, 1.213, 0.019, 0.019, , 2.804, 750.274, 750.274, 750.274, 70.4, 0, 0, 96.718, 79.709, 96.718, 79.709, 39.833, 39.833, 0.024, 0.034, 181.116, 149.261, 181.116, 149.261, 16.171, 8.5, 8.5, 1, 1.933, 
2.1, 34.91, 24.45, 56.86, 57.782, 5.67, 1.213, 0.02, 0.02, , 2.824, 751.859, 751.859, 751.859, 70.4, 0, 0, 97.607, 80.442, 97.607, 80.442, 40.112, 40.112, 0.024, 0.034, 181.498, 149.577, 181.498, 149.577, 16.139, 8.5, 8.5, 1, 1.983, 
2.15, 34.91, 24.45, 56.86, 57.781, 5.682, 1.213, 0.02, 0.02, , 2.844, 753.445, 753.445, 753.445, 70.4, 0, 0, 98.496, 81.174, 98.496, 81.174, 40.392, 40.392, 0.024, 0.034, 181.88, 149.893, 181.88, 149.893, 16.128, 8.5, 8.5, 1, 2.033, 
2.2, 34.91, 24.45, 56.86, 57.78, 5.694, 1.213, 0.021, 0.021, , 2.863, 755.031, 755.031, 755.031, 70.4, 0, 0, 99.384, 81.907, 99.384, 81.907, 40.672, 40.672, 0.024, 0.034, 182.262, 150.209, 182.262, 150.209, 16.117, 8.5, 8.5, 1, 2.083, 
2.25, 34.91, 24.45, 56.86, 57.782, 5.706, 1.213, 0.022, 0.022, , 2.883, 756.699, 756.699, 756.699, 70.4, 0, 0, 100.294, 82.656, 100.294, 82.656, 40.953, 40.953, 0.024, 0.034, 182.664, 150.54, 182.664, 150.54, 16.106, 8.5, 8.5, 1, 2.133, 
2.3, 34.91, 24.45, 56.86, 57.783, 5.719, 1.213, 0.022, 0.022, , 2.903, 758.421, 758.421, 758.421, 70.4, 0, 0, 101.216, 83.417, 101.216, 83.417, 41.234, 41.234, 0.024, 0.034, 183.08, 150.882, 183.08, 150.882, 16.12, 8.5, 8.5, 1, 2.183, 
2.35, 34.91, 24.45, 56.86, 57.784, 5.732, 1.213, 0.023, 0.023, , 2.923, 760.144, 760.144, 760.144, 70.4, 0, 0, 102.139, 84.178, 102.139, 84.178, 41.516, 41.516, 0.024, 0.034, 183.495, 151.223, 183.495, 151.223, 16.225, 8.5, 8.5, 1, 2.233, 
2.4, 34.91, 24.45, 56.86, 57.785, 5.745, 1.213, 0.023, 0.023, , 2.943, 761.866, 761.866, 761.866, 70.4, 0, 0, 103.061, 84.939, 103.061, 84.939, 41.801, 41.801, 0.024, 0.034, 183.911, 151.565, 183.911, 151.565, 16.33, 8.5, 8.5, 1, 2.283, 
2.45, 34.91, 24.45, 56.86, 57.786, 5.755, 1.213, 0.024, 0.024, , 2.963, 763.148, 763.148, 763.148, 70.4, 0, 0, 103.93, 85.654, 103.93, 85.654, 42.087, 42.087, 0.024, 0.034, 184.22, 151.819, 184.22, 151.819, 16.434, 8.5, 8.5, 1, 2.333, 
2.5, 34.91, 24.45, 56.86, 57.787, 5.759, 1.213, 0.024, 0.024, , 2.983, 763.768, 763.768, 763.768, 70.4, 0, 0, 104.716, 86.303, 104.716, 86.303, 42.372, 42.372, 0.024, 0.034, 184.369, 151.942, 184.369, 151.942, 16.522, 8.5, 8.5, 1, 2.383, 
2.55, 34.91, 24.45, 56.86, 57.789, 5.764, 1.213, 0.025, 0.025, , 3.003, 764.388, 764.388, 764.388, 70.4, 0, 0, 105.503, 86.951, 105.503, 86.951, 42.657, 42.657, 0.024, 0.034, 184.519, 152.064, 184.519, 152.064, 16.521, 8.5, 8.5, 1, 2.433, 
2.6, 34.91, 24.45, 56.86, 57.79, 5.768, 1.213, 0.026, 0.026, , 3.023, 765.008, 765.008, 765.008, 70.4, 0, 0, 106.29, 87.599, 106.29, 87.599, 42.942, 42.942, 0.024, 0.034, 184.668, 152.187, 184.668, 152.187, 16.521, 8.5, 8.5, 1, 2.483, 
2.65, 34.91, 24.45, 56.86, 57.791, 5.772, 1.213, 0.026, 0.026, , 3.043, 765.503, 765.503, 765.503, 70.4, 0, 0, 107.061, 88.234, 107.061, 88.234, 43.226, 43.226, 0.024, 0.034, 184.788, 152.285, 184.788, 152.285, 16.52, 8.5, 8.5, 1, 2.533, 
2.7, 34.91, 24.45, 56.86, 57.792, 5.773, 1.213, 0.027, 0.027, , 3.063, 765.732, 765.732, 765.732, 70.4, 0, 0, 107.8, 88.842, 107.8, 88.842, 43.511, 43.511, 0.024, 0.034, 184.843, 152.33, 184.843, 152.33, 16.515, 8.5, 8.5, 1, 2.583, 
2.75, 34.91, 24.45, 56.86, 57.793, 5.775, 1.213, 0.027, 0.027, , 3.083, 765.96, 765.96, 765.96, 70.4, 0, 0, 108.539, 89.449, 108.539, 89.449, 43.796, 43.796, 0.024, 0.034, 184.899, 152.375, 184.899, 152.375, 16.46, 8.5, 8.5, 1, 2.633, 
2.8, 34.91, 24.45, 56.86, 57.794, 5.776, 1.213, 0.028, 0.028, , 3.103, 766.189, 766.189, 766.189, 70.4, 0, 0, 109.277, 90.056, 109.277, 90.056, 44.08, 44.08, 0.024, 0.034, 184.954, 152.421, 184.954, 152.421, 16.405, 8.5, 8.5, 1, 2.683, 
2.85, 34.91, 24.45, 56.86, 57.795, 5.779, 1.213, 0.029, 0.029, , 3.123, 766.537, 766.537, 766.537, 70.4, 0, 0, 110.035, 90.68, 110.035, 90.68, 44.365, 44.365, 0.024, 0.034, 185.039, 152.491, 185.039, 152.491, 16.35, 8.5, 8.5, 1, 2.733, 
2.9, 34.91, 24.45, 56.86, 57.797, 5.783, 1.213, 0.029, 0.029, , 3.143, 767.1, 767.1, 767.1, 70.4, 0, 0, 110.828, 91.333, 110.828, 91.333, 44.649, 44.649, 0.024, 0.034, 185.175, 152.603, 185.175, 152.603, 16.298, 8.5, 8.5, 1, 2.783, 
2.95, 34.91, 24.45, 56.86, 57.798, 5.787, 1.213, 0.03, 0.03, , 3.164, 767.662, 767.662, 767.662, 70.4, 0, 0, 111.621, 91.986, 111.621, 91.986, 44.934, 44.934, 0.024, 0.034, 185.311, 152.716, 185.311, 152.716, 16.298, 8.5, 8.5, 1, 2.833, 
3, 34.91, 24.45, 56.86, 57.799, 5.791, 1.213, 0.03, 0.03, , 3.184, 768.224, 768.224, 768.224, 70.4, 0, 0, 112.414, 92.639, 112.414, 92.639, 45.219, 45.219, 0.024, 0.034, 185.447, 152.829, 185.447, 152.829, 16.299, 8.5, 8.5, 1, 2.883, 
3.05, 34.91, 24.45, 56.86, 57.8, 5.797, 1.213, 0.031, 0.031, , 3.204, 769.107, 769.107, 769.107, 70.4, 0, 0, 113.257, 93.333, 113.257, 93.333, 45.505, 45.505, 0.024, 0.034, 185.66, 153.005, 185.66, 153.005, 16.299, 8.5, 8.5, 1, 2.933, 
3.1, 34.91, 24.45, 56.86, 57.801, 5.806, 1.213, 0.032, 0.032, , 3.224, 770.311, 770.311, 770.311, 70.4, 0, 0, 114.151, 94.07, 114.151, 94.07, 45.79, 45.79, 0.024, 0.034, 185.95, 153.244, 185.95, 153.244, 16.299, 8.5, 8.5, 1, 2.983, 
3.15, 34.91, 24.45, 56.86, 57.802, 5.815, 1.213, 0.032, 0.032, , 3.244, 771.514, 771.514, 771.514, 70.4, 0, 0, 115.045, 94.807, 115.045, 94.807, 46.077, 46.077, 0.024, 0.034, 186.239, 153.484, 186.239, 153.484, 16.279, 8.5, 8.5, 1, 3.033, 
3.2, 34.91, 24.45, 56.86, 57.804, 5.824, 1.213, 0.033, 0.033, , 3.264, 772.718, 772.718, 772.718, 70.4, 0, 0, 115.94, 95.544, 115.94, 95.544, 46.364, 46.364, 0.024, 0.034, 186.529, 153.723, 186.529, 153.723, 16.257, 8.5, 8.5, 1, 3.083, 
3.25, 34.91, 24.45, 56.86, 57.805, 5.836, 1.213, 0.034, 0.034, , 3.284, 774.327, 774.327, 774.327, 70.4, 0, 0, 116.907, 96.341, 116.907, 96.341, 46.652, 46.652, 0.024, 0.034, 186.917, 154.042, 186.917, 154.042, 16.235, 8.5, 8.5, 1, 3.133, 
3.3, 34.91, 24.45, 56.86, 57.806, 5.849, 1.213, 0.034, 0.034, , 3.305, 776.093, 776.093, 776.093, 70.4, 0, 0, 117.903, 97.162, 117.903, 97.162, 46.94, 46.94, 0.024, 0.034, 187.344, 154.393, 187.344, 154.393, 16.213, 8.5, 8.5, 1, 3.183, 
3.35, 34.91, 24.45, 56.86, 57.807, 5.862, 1.213, 0.035, 0.035, , 3.325, 777.859, 777.859, 777.859, 70.4, 0, 0, 118.899, 97.982, 118.899, 97.982, 47.23, 47.23, 0.024, 0.034, 187.77, 154.743, 187.77, 154.743, 16.284, 8.5, 8.5, 1, 3.233, 
3.4, 34.91, 24.45, 56.86, 57.808, 5.876, 1.213, 0.036, 0.036, , 3.346, 779.624, 779.624, 779.624, 70.4, 0, 0, 119.895, 98.803, 119.895, 98.803, 47.522, 47.522, 0.024, 0.034, 188.197, 155.094, 188.197, 155.094, 16.365, 8.5, 8.5, 1, 3.283, 
3.45, 34.91, 24.45, 56.86, 57.809, 5.889, 1.213, 0.036, 0.036, , 3.366, 781.356, 781.356, 781.356, 70.4, 0, 0, 120.902, 99.634, 120.902, 99.634, 47.813, 47.813, 0.024, 0.034, 188.615, 155.438, 188.615, 155.438, 16.445, 8.5, 8.5, 1, 3.333, 
3.5, 34.91, 24.45, 56.86, 57.81, 5.902, 1.213, 0.037, 0.037, , 3.387, 783.088, 783.088, 783.088, 70.4, 0, 0, 121.909, 100.464, 121.909, 100.464, 48.105, 48.105, 0.024, 0.034, 189.033, 155.783, 189.033, 155.783, 16.526, 8.5, 8.5, 1, 3.383, 
3.55, 34.91, 24.45, 56.86, 57.811, 5.914, 1.213, 0.037, 0.037, , 3.407, 784.82, 784.82, 784.82, 70.4, 0, 0, 122.916, 101.295, 122.916, 101.295, 48.398, 48.398, 0.024, 0.034, 189.451, 156.127, 189.451, 156.127, 16.597, 8.5, 8.5, 1, 3.433, 
3.6, 34.91, 24.45, 56.86, 57.812, 5.924, 1.213, 0.038, 0.038, , 3.428, 786.171, 786.171, 786.171, 70.4, 0, 0, 123.869, 102.081, 123.869, 102.081, 48.692, 48.692, 0.024, 0.034, 189.777, 156.396, 189.777, 156.396, 16.667, 8.5, 8.5, 1, 3.483, 
3.65, 34.91, 24.45, 56.86, 57.813, 5.931, 1.213, 0.039, 0.039, , 3.448, 787.036, 787.036, 787.036, 70.4, 0, 0, 124.752, 102.809, 124.752, 102.809, 48.985, 48.985, 0.024, 0.034, 189.986, 156.568, 189.986, 156.568, 16.736, 8.5, 8.5, 1, 3.533, 
3.7, 34.91, 24.45, 56.86, 57.813, 5.937, 1.213, 0.039, 0.039, , 3.469, 787.901, 787.901, 787.901, 70.4, 0, 0, 125.636, 103.538, 125.636, 103.538, 49.278, 49.278, 0.024, 0.034, 190.194, 156.739, 190.194, 156.739, 16.805, 8.5, 8.5, 1, 3.583, 
3.75, 34.91, 24.45, 56.86, 57.814, 5.943, 1.213, 0.04, 0.04, , 3.49, 788.766, 788.766, 788.766, 70.4, 0, 0, 126.519, 104.267, 126.519, 104.267, 49.572, 49.572, 0.024, 0.034, 190.403, 156.911, 190.403, 156.911, 16.817, 8.5, 8.5, 1, 3.633, 
3.8, 34.91, 24.45, 56.86, 57.815, 5.945, 1.213, 0.041, 0.041, , 3.511, 788.983, 788.983, 788.983, 70.4, 0, 0, 127.305, 104.915, 127.305, 104.915, 49.865, 49.865, 0.024, 0.034, 190.456, 156.956, 190.456, 156.956, 16.814, 8.5, 8.5, 1, 3.683, 
3.85, 34.91, 24.45, 56.86, 57.816, 5.946, 1.213, 0.042, 0.042, , 3.531, 789.145, 789.145, 789.145, 70.4, 0, 0, 128.083, 105.556, 128.083, 105.556, 50.158, 50.158, 0.024, 0.034, 190.495, 156.989, 190.495, 156.989, 16.81, 8.5, 8.5, 1, 3.733, 
3.9, 34.91, 24.45, 56.86, 57.816, 5.947, 1.213, 0.042, 0.042, , 3.552, 789.306, 789.306, 789.306, 70.4, 0, 0, 128.861, 106.197, 128.861, 106.197, 50.452, 50.452, 0.024, 0.034, 190.535, 157.023, 190.535, 157.023, 16.806, 8.5, 8.5, 1, 3.783, 
3.95, 34.91, 24.45, 56.86, 57.817, 5.948, 1.213, 0.043, 0.043, , 3.572, 789.478, 789.478, 789.478, 70.4, 0, 0, 129.641, 106.84, 129.641, 106.84, 50.746, 50.746, 0.024, 0.034, 190.576, 157.058, 190.576, 157.058, 16.754, 8.5, 8.5, 1, 3.833, 
4, 34.91, 24.45, 56.86, 57.818, 5.949, 1.213, 0.044, 0.044, , 3.593, 789.661, 789.661, 789.661, 70.4, 0, 0, 130.425, 107.487, 130.425, 107.487, 51.039, 51.039, 0.024, 0.034, 190.621, 157.095, 190.621, 157.095, 16.684, 8.5, 8.5, 1, 3.883, 
4.05, 34.91, 24.45, 56.86, 57.819, 5.95, 1.213, 0.044, 0.044, , 3.614, 789.845, 789.845, 789.845, 70.4, 0, 0, 131.209, 108.133, 131.209, 108.133, 51.335, 51.335, 0.024, 0.034, 190.665, 157.132, 190.665, 157.132, 16.613, 8.5, 8.5, 1, 3.933, 
4.1, 34.91, 24.45, 56.86, 57.82, 5.951, 1.213, 0.045, 0.045, , 3.635, 790.036, 790.036, 790.036, 70.4, 0, 0, 131.995, 108.781, 131.995, 108.781, 51.632, 51.632, 0.024, 0.034, 190.711, 157.17, 190.711, 157.17, 16.543, 8.5, 8.5, 1, 3.983, 
4.15, 34.91, 24.45, 56.86, 57.82, 5.953, 1.213, 0.046, 0.046, , 3.655, 790.297, 790.297, 790.297, 70.4, 0, 0, 132.791, 109.437, 132.791, 109.437, 51.928, 51.928, 0.024, 0.034, 190.775, 157.221, 190.775, 157.221, 16.485, 8.5, 8.5, 1, 4.033, 
