Time, (DWRT ATMO) Humidity, (DWRT ATMO) Pressure, (DWRT ATMO) Temperature 1, (DWRT ATMO) Temperature 2, (DWRT CPU) Acceleration, (DWRT CPU) Correction Factor, (DWRT CPU) Distance, (DWRT CPU) Distance 1, (DWRT CPU) Distance 2, (DWRT CPU) Engine RPM, (DWRT CPU) Force, (DWRT CPU) Force 1, (DWRT CPU) Force Drum 1, (DWRT CPU) Gear Ratio, (DWRT CPU) Link 0 Status, (DWRT CPU) Link 1 Status, (DWRT CPU) Power, (DWRT CPU) Power (uncorrected), (DWRT CPU) Power Drum 1, (DWRT CPU) Power Drum 1 (uncorrected), (DWRT CPU) Speed, (DWRT CPU) Speed 1, (DWRT CPU) TCP RX kB/s, (DWRT CPU) TCP TX kB/s, (DWRT CPU) Torque, (DWRT CPU) Torque (uncorrected), (DWRT CPU) Torque Drum 1, (DWRT CPU) Torque Drum 1 (uncorrected), (DWRT CPU) UDP RX kB/s, (DWRT CPU) User Analog 1, (DWRT CPU) WB Volts Petrol AFR, (Gen) Sampling, (Gen) Sampling Duration, 
0, , , , , -3.529, , , , , , -460.13, -460.13, -460.13, , , , , , , , , , , , , , , , , , , , , 
0.05, , , , , -2.989, , , , , , -388.969, -388.969, -388.969, , , , , , , , , , , , , , , , , , , , , 
0.1, , , , , -2.448, , , , , , -317.809, -317.809, -317.809, , , , , , , , , , , , , , , , , , , , , 
0.15, , , , , -1.908, , , , , 2.206, -246.648, -246.648, -246.648, 70.4, , , , , , , 31.341, 31.341, , , , , , , , , , , , 
0.2, , , , , -1.367, , , , , 2.204, -175.488, -175.488, -175.488, 70.4, , , , , , , 31.311, 31.311, , , , , , , , , , , , 
0.25, , , , , -0.827, , , , , 2.202, -104.327, -104.327, -104.327, 70.4, , , , , , , 31.282, 31.282, , , , , , , , 8.5, 8.5, 1, 0.039, 
0.3, , , , , -0.14, , 0.001, 0.001, , 2.2, -13.94, -13.94, -13.94, 70.4, , , -1.338, -1.106, -1.338, -1.106, 31.253, 31.253, 0.024, 0.034, -3.366, -2.774, -3.366, -2.774, 15.8, 8.5, 8.5, 1, 0.116, 
0.35, , , , , 0.652, , 0.002, 0.002, , 2.198, 90.371, 90.371, 90.371, 70.4, 0, 0, 9.339, 7.693, 9.339, 7.693, 31.224, 31.224, 0.024, 0.034, 21.815, 17.978, 21.815, 17.978, 15.876, 8.5, 8.5, 1, 0.201, 
0.4, , , , , 1.444, , 0.003, 0.003, , 2.196, 194.682, 194.682, 194.682, 70.4, 0, 0, 20.015, 16.493, 20.015, 16.493, 31.195, 31.195, 0.024, 0.034, 46.995, 38.73, 46.995, 38.73, 15.952, 8.5, 8.5, 1, 0.253, 
0.45, , , , , 2.236, , 0.003, 0.003, , 2.207, 298.992, 298.992, 298.992, 70.4, 0, 0, 30.692, 25.293, 30.692, 25.293, 31.346, 31.346, 0.024, 0.034, 72.175, 59.482, 72.175, 59.482, 16.028, 8.5, 8.5, 1, 0.327, 
0.5, , 24.45, 56.86, , 3.029, 1.213, 0.004, 0.004, , 2.22, 403.303, 403.303, 403.303, 70.4, 0, 0, 41.368, 34.092, 41.368, 34.092, 31.531, 31.531, 0.024, 0.034, 97.355, 80.233, 97.355, 80.233, 16.113, 8.5, 8.5, 1, 0.383, 
0.55, , 24.45, 56.86, , 3.73, 1.213, 0.004, 0.004, , 2.233, 495.649, 495.649, 495.649, 70.4, 0, 0, 50.875, 41.928, 50.875, 41.928, 31.716, 31.716, 0.024, 0.034, 119.647, 98.605, 119.647, 98.605, 16.202, 8.5, 8.5, 1, 0.433, 
0.6, , 24.45, 56.86, , 3.873, 1.213, 0.005, 0.005, , 2.246, 514.496, 514.496, 514.496, 70.4, 0, 0, 53.2, 43.843, 53.2, 43.843, 31.901, 31.901, 0.024, 0.034, 124.196, 102.354, 124.196, 102.354, 16.29, 8.5, 8.5, 1, 0.483, 
0.65, , 24.45, 56.86, , 4.016, 1.213, 0.005, 0.005, , 2.259, 533.343, 533.343, 533.343, 70.4, 0, 0, 55.524, 45.758, 55.524, 45.758, 32.086, 32.086, 0.024, 0.034, 128.745, 106.103, 128.745, 106.103, 16.379, 8.5, 8.5, 1, 0.533, 
0.7, , 24.45, 56.86, , 4.159, 1.213, 0.006, 0.006, , 2.273, 552.19, 552.19, 552.19, 70.4, 0, 0, 57.849, 47.673, 57.849, 47.673, 32.288, 32.288, 0.024, 0.034, 133.294, 109.852, 133.294, 109.852, 16.409, 8.5, 8.5, 1, 0.583, 
0.75, , 24.45, 56.86, , 4.302, 1.213, 0.006, 0.006, , 2.289, 571.037, 571.037, 571.037, 70.4, 0, 0, 60.174, 49.588, 60.174, 49.588, 32.511, 32.511, 0.024, 0.034, 137.843, 113.601, 137.843, 113.601, 16.416, 8.5, 8.5, 1, 0.633, 
0.8, , 24.45, 56.86, , 4.445, 1.213, 0.006, 0.006, , 2.304, 589.884, 589.884, 589.884, 70.4, 0, 0, 62.498, 51.504, 62.498, 51.504, 32.734, 32.734, 0.024, 0.034, 142.392, 117.35, 142.392, 117.35, 16.424, 8.5, 8.5, 1, 0.683, 
0.85, , 24.45, 56.86, , 4.521, 1.213, 0.007, 0.007, , 2.32, 599.86, 599.86, 599.86, 70.4, 0, 0, 64.009, 52.748, 64.009, 52.748, 32.957, 32.957, 0.024, 0.034, 144.8, 119.335, 144.8, 119.335, 16.431, 8.5, 8.5, 1, 0.733, 
0.9, 34.91, 24.45, 56.86, 57.809, 4.583, 1.213, 0.007, 0.007, , 2.336, 608.145, 608.145, 608.145, 70.4, 0, 0, 65.364, 53.866, 65.364, 53.866, 33.18, 33.18, 0.024, 0.034, 146.8, 120.983, 146.8, 120.983, 16.365, 8.5, 8.5, 1, 0.783, 
0.95, 34.91, 24.45, 56.86, 57.808, 4.646, 1.213, 0.008, 0.008, , 2.352, 616.43, 616.43, 616.43, 70.4, 0, 0, 66.72, 54.983, 66.72, 54.983, 33.408, 33.408, 0.024, 0.034, 148.8, 122.632, 148.8, 122.632, 16.261, 8.5, 8.5, 1, 0.833, 
1, 34.91, 24.45, 56.86, 57.807, 4.709, 1.213, 0.008, 0.008, , 2.369, 624.715, 624.715, 624.715, 70.4, 0, 0, 68.075, 56.1, 68.075, 56.1, 33.648, 33.648, 0.024, 0.034, 150.8, 124.28, 150.8, 124.28, 16.157, 8.5, 8.5, 1, 0.883, 
1.05, 34.91, 24.45, 56.86, 57.806, 4.772, 1.213, 0.009, 0.009, , 2.386, 633, 633, 633, 70.4, 0, 0, 69.43, 57.217, 69.43, 57.217, 33.888, 33.888, 0.024, 0.034, 152.8, 125.928, 152.8, 125.928, 16.052, 8.5, 8.5, 1, 0.933, 
1.1, 34.91, 24.45, 56.86, 57.805, 4.86, 1.213, 0.009, 0.009, , 2.403, 644.659, 644.659, 644.659, 70.4, 0, 0, 71.452, 58.884, 71.452, 58.884, 34.128, 34.128, 0.024, 0.034, 155.615, 128.248, 155.615, 128.248, 15.986, 8.5, 8.5, 1, 0.983, 
1.15, 34.91, 24.45, 56.86, 57.804, 4.958, 1.213, 0.01, 0.01, , 2.42, 657.63, 657.63, 657.63, 70.4, 0, 0, 73.734, 60.764, 73.734, 60.764, 34.368, 34.368, 0.024, 0.034, 158.747, 130.829, 158.747, 130.829, 15.945, 8.5, 8.5, 1, 1.033, 
1.2, 34.91, 24.45, 56.86, 57.803, 5.057, 1.213, 0.01, 0.01, , 2.438, 670.6, 670.6, 670.6, 70.4, 0, 0, 76.015, 62.644, 76.015, 62.644, 34.637, 34.637, 0.024, 0.034, 161.879, 133.409, 161.879, 133.409, 15.904, 8.5, 8.5, 1, 1.083, 
1.25, 34.91, 24.45, 56.86, 57.801, 5.155, 1.213, 0.011, 0.011, , 2.466, 683.571, 683.571, 683.571, 70.4, 0, 0, 78.296, 64.524, 78.296, 64.524, 35.024, 35.024, 0.024, 0.034, 165.011, 135.99, 165.011, 135.99, 15.863, 8.5, 8.5, 1, 1.133, 
1.3, 34.91, 24.45, 56.86, 57.8, 5.253, 1.213, 0.012, 0.012, , 2.493, 696.542, 696.542, 696.542, 70.4, 0, 0, 80.578, 66.404, 80.578, 66.404, 35.411, 35.411, 0.024, 0.034, 168.143, 138.571, 168.143, 138.571, 15.898, 8.5, 8.5, 1, 1.183, 
