Time, (DWRT ATMO) Humidity, (DWRT ATMO) Pressure, (DWRT ATMO) Temperature 1, (DWRT ATMO) Temperature 2, (DWRT CPU) Acceleration, (DWRT CPU) Correction Factor, (DWRT CPU) Distance, (DWRT CPU) Distance 1, (DWRT CPU) Distance 2, (DWRT CPU) Engine RPM, (DWRT CPU) Force, (DWRT CPU) Force 1, (DWRT CPU) Force Drum 1, (DWRT CPU) Gear Ratio, (DWRT CPU) Link 0 Status, (DWRT CPU) Link 1 Status, (DWRT CPU) Power, (DWRT CPU) Power (uncorrected), (DWRT CPU) Power Drum 1, (DWRT CPU) Power Drum 1 (uncorrected), (DWRT CPU) Speed, (DWRT CPU) Speed 1, (DWRT CPU) TCP RX kB/s, (DWRT CPU) TCP TX kB/s, (DWRT CPU) Torque, (DWRT CPU) Torque (uncorrected), (DWRT CPU) Torque Drum 1, (DWRT CPU) Torque Drum 1 (uncorrected), (DWRT CPU) UDP RX kB/s, (DWRT CPU) User Analog 1, (DWRT CPU) WB Volts Petrol AFR, (Gen) Sampling, (Gen) Sampling Duration, 
0, , , , , 1.81, , , , , , 243.42, 243.42, 243.42, , , , , , , , , , , , , , , , , , , , , 
0.05, , , , , 2.252, , , , , , 301.631, 301.631, 301.631, , , , , , , , , , , , , , , , , , , , , 
0.1, , , , , 2.694, , , , , , 359.843, 359.843, 359.843, , , , , , , , , , , , , , , , , 8.5, 8.5, 1, 0.046, 
0.15, , , , , 3.136, , 0.001, 0.001, , 2.612, 418.054, 418.054, 418.054, 67.1, , , , , , , 38.926, 38.926, , , , , , , , 8.5, 8.5, 1, 0.118, 
0.2, , , , , 3.578, , 0.002, 0.002, , 2.636, 476.265, 476.265, 476.265, 67.1, 0, 0, , , , , 39.281, 39.281, , , , , , , , 8.5, 8.5, 1, 0.193, 
0.25, , , , , 3.858, , 0.003, 0.003, , 2.66, 513.16, 513.16, 513.16, 67.1, 0, 0, 81.929, 66.183, 81.929, 66.183, 39.635, 39.635, 0.024, 0.034, 161.081, 130.123, 161.081, 130.123, 16.301, 8.5, 8.5, 1, 0.268, 
0.3, 18.23, , , 70.56, 4.03, , 0.004, 0.004, , 2.683, 535.843, 535.843, 535.843, 67.1, 0, 0, 81.46, 65.804, 81.46, 65.804, 39.989, 39.989, 0.024, 0.034, 159.282, 128.671, 159.282, 128.671, 16.364, 8.5, 8.5, 1, 0.34, 
0.35, 18.23, , , 70.56, 4.202, , 0.005, 0.005, , 2.703, 558.525, 558.525, 558.525, 67.1, 0, 0, 80.991, 65.426, 80.991, 65.426, 40.288, 40.288, 0.024, 0.034, 157.484, 127.218, 157.484, 127.218, 16.427, 8.5, 8.5, 1, 0.39, 
0.4, 18.23, , , 70.56, 4.374, , 0.005, 0.005, , 2.718, 581.208, 581.208, 581.208, 67.1, 0, 0, 80.523, 65.048, 80.523, 65.048, 40.51, 40.51, 0.024, 0.033, 155.685, 125.766, 155.685, 125.766, 16.49, 8.5, 8.5, 1, 0.44, 
0.45, 18.23, , , 70.56, 4.483, , 0.006, 0.006, , 2.733, 595.582, 595.582, 595.582, 67.1, 0, 0, 80.038, 64.656, 80.038, 64.656, 40.732, 40.732, 0.024, 0.033, 153.884, 124.311, 153.884, 124.311, 16.518, 8.5, 8.5, 1, 0.49, 
